district_id,district_name,station_id,station_name
1,Bagalkot,1, 
1,Bagalkot,1245,Amengad PS
1,Bagalkot,1246,Badami PS
1,Bagalkot,2220,Bagalkot CEN Crime PS
1,Bagalkot,1238,Bagalkot Rural PS
1,Bagalkot,1236,Bagalkot Town PS
1,Bagalkot,1237,Bagalkot Traffic PS
1,Bagalkot,2217,Bagalkot Women PS
1,Bagalkot,1259,Banahatti PS
1,Bagalkot,1263,Bilagi PS
1,Bagalkot,1249,Guledagudda PS
1,Bagalkot,1241,Hungunda PS
1,Bagalkot,1242,Ilakal PS
1,Bagalkot,2189,Ilakal Rural PS
1,Bagalkot,1251,Jamakhandi Rural PS
1,Bagalkot,1250,Jamakhandi Town PS
1,Bagalkot,1240,Kaladagi PS
1,Bagalkot,1247,Kerur PS
1,Bagalkot,1256,Lokapur PS
1,Bagalkot,1258,Mahalingapur PS
1,Bagalkot,1255,Mudhol PS
1,Bagalkot,1888,Navanagara PS
1,Bagalkot,1254,Savalgi PS
1,Bagalkot,1260,Teradal PS
2,Ballari,1920,APMC Yard PS
2,Ballari,2221,Ballari CEN Crime PS
2,Ballari,2205,Ballari Women PS
2,Ballari,338,Bellary Rural PS
2,Ballari,337,Bellary Traffic PS
2,Ballari,333,Brucepet PS
2,Ballari,334,Cowlbazar PS
2,Ballari,362,Gadiganur PS
2,Ballari,335,Gandhinagar PS
2,Ballari,348,Hatcholli PS
2,Ballari,357,Kampli PS
2,Ballari,1893,Kuduthini PS
2,Ballari,343,Kurugod PS
2,Ballari,342,Moka PS
2,Ballari,339,P.D. Halli PS
2,Ballari,366,Sandur PS
2,Ballari,346,Sirigeri PS
2,Ballari,347,Siruguppa PS
2,Ballari,344,Tekkalkota PS
2,Ballari,364,Thoranagal PS
3,Belagavi City,298,APMC Yard PS
3,Belagavi City,1456,Bagewadi PS
3,Belagavi City,2240,Belagavi City CEN Crime PS
3,Belagavi City,310,Belagavi Rural PS
3,Belagavi City,306,Belgaum North Traffic PS
3,Belagavi City,305,Belgaum South Traffic PS
3,Belagavi City,303,Camp PS
3,Belagavi City,311,Kakati PS
3,Belagavi City,301,Khadebazar PS
3,Belagavi City,297,Malamaruthi PS
3,Belagavi City,1457,Marihal PS
3,Belagavi City,292,Market PS
3,Belagavi City,296,Shahapura PS
3,Belagavi City,302,Tilakwadi PS
3,Belagavi City,1455,Udyambag PS
3,Belagavi City,1453,Women PS
4,Belagavi Dist,1487,Agali PS
4,Belagavi Dist,324,Ankalgi PS
4,Belagavi Dist,2011,Ankali PS
4,Belagavi Dist,1485,Athani PS
4,Belagavi Dist,1464,Bailahongal PS
4,Belagavi Dist,1482,Basaweshwar Chowk PS
4,Belagavi Dist,2223,Belagavi CEN Crime PS
4,Belagavi Dist,2243,Belagavi Women PS
4,Belagavi Dist,1478,Chikkodi PS
4,Belagavi Dist,2133,Chikkodi Town Traffic PS
4,Belagavi Dist,1467,Doddawad PS
4,Belagavi Dist,1460,Ghataprabha PS
4,Belagavi Dist,319,Gokak Rural PS
4,Belagavi Dist,323,Gokak Town PS
4,Belagavi Dist,2126,Harugeri PS
4,Belagavi Dist,1461,Hukkeri PS
4,Belagavi Dist,1486,Kagwad PS
4,Belagavi Dist,1473,Katkol PS
4,Belagavi Dist,2204,Khadakalat PS
4,Belagavi Dist,314,Khanapur PS
4,Belagavi Dist,1466,Kittur PS
4,Belagavi Dist,1484,Kudachi PS
4,Belagavi Dist,1459,Kulgod PS
4,Belagavi Dist,1458,Mudalgi PS
4,Belagavi Dist,1470,Murgod PS
4,Belagavi Dist,315,Nandagad PS
4,Belagavi Dist,1465,Nesargi PS
4,Belagavi Dist,1481,Nippani Rural PS
4,Belagavi Dist,1480,Nippani Town PS
4,Belagavi Dist,1483,Raibag PS
4,Belagavi Dist,1472,Ramadurga PS
